table_id,table_name,dimension,dimension_value,indicador,tipo_dato,periodo,periodo_parsed,valor
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M03,2023-03,1158.88
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M02,2023-02,851.81
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2023M01,2023-01,845.83
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M12,2022-12,844.1
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M11,2022-11,901.82
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M10,2022-10,1637.38
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M09,2022-09,1947.59
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M08,2022-08,2317.96
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M07,2022-07,2385.73
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M06,2022-06,1951.1
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M05,2022-05,1741.96
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M04,2022-04,1294.67
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M03,2022-03,1013.97
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M02,2022-02,672.47
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2022M01,2022-01,446.27
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2021M12,2021-12,478.57
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2021M11,2021-11,638.33
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2021M10,2021-10,998.69
